text,political_inclination
"One of the drag performers that took money from young children at the show at a gay bar in Dallas, Texas responds to me. He inaccurately says I was one of the protesters who called him “disgusting.” https://t.co/zojPzfWWPV https://t.co/rfHCiPxd6g",conservative
@isabellarileyus That is this person: https://t.co/1RiYPf7v6X,conservative
"Meanwhile, have a wonderful #PlatinumJubilee weekend in honor and celebration of the Queen's 70 years as monarch of the Commonwealth. https://t.co/IVQSkQ0Gcb",conservative
"This performer from the children's drag show in Dallas, Texas is Albert Xavier Estrada, who also uses the name ""Arielle Diamond."" Estrada posted previously about his OnlyFans. https://t.co/X8UCxetpvs https://t.co/6wzraKHUHY",conservative
"One of the performers for the drag event for children in Dallas, Texas that was confronted is Andrew Carroll, who also uses the name ""Noelle Synclair."" He said he's becoming an educator. His boyfriend who tried to block the camera is Jared Meece. https://t.co/qnP4txkRJe https://t.co/JXdUeGzeH5",conservative
".@breanneSrice has filed a police report against John Joseph Dean, of Dallas, for spitting on her outside the venue that hosted the drag show for children. https://t.co/0jBnikZzuG",conservative
"John Joseph Dean, an attendee of the drag event for children at the gay bar in Dallas, Texas, insults &amp; spits on a videographer as he was driving away. The 51-year-old Dallas resident works as a senior engineer for the cyber security team at @SouthwestAir. https://t.co/OFCNPbgRrf",conservative
Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press spread lies that he's far-right. He was a militant BLM supporter who expressed solidarity w/far-left violence in Portland &amp; Kenosha.https://t.co/K9wVdMRkdT https://t.co/2XRmQmuHbd,conservative
"@alexstein99 The drag event for children at a gay bar in Dallas, Texas was called ""Drag the Kids to Pride."" It was held at the Mr. Misster gay bar &amp; club. Children &amp; transvestites danced in front of an electronic sign that read, ""It's not gonna lick itself."" https://t.co/tcgiqhqCbH",conservative
"“I f— him! Is he a child?"" 

A transvestite &amp; another man were confronted by @alexstein99 outside the gay bar (Mr. Misster) in Dallas, Texas that hosted the drag event for children. The transvestite had performed on the “walkway” with a child at one point. https://t.co/lWzUnVUGti",conservative
"Footage from inside the gay bar in Dallas, Texas (Mr. Misster) that hosted the drag show for children as part of #PrideMonth. Video by @TaylerUSA. https://t.co/JX1jkxkX13",conservative
"Far-left protesters follow &amp; physically confront a black man who protested a drag show for children at a gay bar in Dallas, Texas. Video by @TaylerUSA. https://t.co/jhqxtc28uS",conservative
"Dallas, Texas: Masked far-left militants tried to rob &amp; attack @alexstein99 at a drag show for children in Mr. Mister, a gay bar &amp; club. Video by @TaylerUSA: https://t.co/liRii42YNl",conservative
Some booed Meghan Markle &amp; Prince Harry in their first public royal event since stepping down from their senior royal roles in order to become celebrities in the US. The couple returned to England for the Queen’s platinum jubilee. https://t.co/Lr1p2KEv9p,conservative
@DouglasKMurray Wow.,conservative
I will never let you silence me. https://t.co/XrAaDZaqFU,conservative
Two ex-lawyers who participated in a far-left terrorist attack in NYC have pleaded guilty to conspiracy to commit arson &amp; to make &amp; possess an unregistered destructive device. They’ll get no more than 2 years in federal prison in a sweetheart deal.https://t.co/tJBqUvSLKc,conservative
"Leftists, Karens, academics and media in Hawaii are furious that a personalized vehicle license plate reading “FCKBLM” has not been surrendered by the driver. https://t.co/O6a59jCAXb",conservative
@TheTomGeorge @KITV4 Huge fallacy and error for you and your station to believe that opposition to BLM is rooted only in racism. Have you not read the reporting on what that nonprofit has done with tens of millions of dollars?,conservative
"RT @MrAndyNgo: .@jason_a_w, a blogger for the disgraced SPLC, sent an email inquiry for a ""Hatewatch"" entry he is working on about me and t…",conservative
Many Arab speaking Muslims have said the US Embassy in Kuwait insulted Islam with the gay pride tweet. https://t.co/aqtMKTb3up,conservative
The government of Kuwait has summoned a high level US diplomat over the following tweet celebrating LGBTQ+ month. Kuwait says the tweet violates international norms &amp; infringes on the Islamic country’s laws. https://t.co/4WSnVpnkcC,conservative
"A bearded person dressed in women’s clothing twerks and dances in front of cars in northeast Portland, Ore. https://t.co/UAW0LI3ePO",conservative
"In Vancouver, Wash. (next to Portland, Ore.) a nude woman runs and hits a person on the street. People nearby don’t respond. https://t.co/YrbkaoOCm4",conservative
"RT @MrAndyNgo: After 8 years, I have reached 1 million followers on Twitter. I've survived mass campaigns by the far-left to force me off h…",conservative
"RT @MrAndyNgo: I believe I have found the Twitter account belonging to the #Tulsa Haitian mass shooter, Michael Louis. 

At 4:41 pm local t…",conservative
"Exclusive: Michael Louis, aka Michelet Louis-Baptiste, the Haitian mass shooter who killed four at a hospital in #Tulsa, Okla., was class of 1996 at East Orange High School in East Orange, N.J. https://t.co/LYV0w4uBMv",conservative
"The Twitter account posted a link to a YouTube page belonging to ""Mike Louis,"" which doesn't have original content but does have a playlist. The last videos added yesterday were about how to use the AR-15. The Tulsa mass shooter used an AR-15 style rifle.https://t.co/NiASReyq8C https://t.co/6GgkMi5tjV",conservative
"I believe I have found the Twitter account belonging to the #Tulsa Haitian mass shooter, Michael Louis. 

At 4:41 pm local time on June 1, the account tweeted: ""Today is a beautiful day."" The shooting happened around 4:52 pm. https://t.co/19IUj2csRP https://t.co/h3iydnhDsR https://t.co/u89kanIMQA",conservative
"Without evidence, a @FPRI researcher says the Buffalo white supremacist mass shooting has set off a contagion. Mass shootings occur regularly in the US, with perpetrators coming from diverse backgrounds in urban areas. (2020 mass shooter mugshots attached.)https://t.co/dgXcqk2de4 https://t.co/HvLBxwAnXG",conservative
"The mass shooter who killed four people &amp; himself at St. Francis Hospital in Tulsa, Okla. yesterday has been named by authorities as Michael Louis. Two of the victims were doctors. Before his identity was known, the shooting was blamed on white supremacy. https://t.co/aJ6xluO81L https://t.co/an6OhfizTD",conservative
Join me on my @GETTRofficial livestream tonight at 7 p.m. ET. I'll be discussing the latest #BLM hoax spread by the usual left-wing disinformation pushers and conspiracy theorists on social media. #LeonnaHale https://t.co/uLl2PMLjGk https://t.co/7NiYEHHA5Z,conservative
RT @MrAndyNgo: Many pets joined to watch the #JubileeCelebration in London. #TroopingTheColour https://t.co/tGo2386GeI,conservative
"Jason Wilson also brought attention to my lawsuit against Rose City Antifa &amp; those who assaulted me. My legal fund is being generously managed &amp; run by @Liberty_Ctr, a nonprofit started by @pnjaban. Please follow them. Read &amp; support my legal case here: https://t.co/TllZ7KD7ye",conservative
"Jason Wilson (@jason_a_w) a “Hatewatch” blogger for the disgraced SPLC asked me how I feel about being on @SubscribeStar, a platform that has content creators who were banned elsewhere. I said the platform should be lauded for resisting censorship.https://t.co/kA6X9oV705",conservative
"Portland, Ore.: A man aggressively moving towards private security in downtown gets punched and taken to the ground. 

Note: A prior retweet of this video by me incorrectly stated the men in uniform were Portland Police officers. https://t.co/KKDAff7mJQ",conservative
"Screenshots for the record from the fool spreading a baseless conspiracy theory.

Link to the Jackson County Prosecutor’s press release about the shooting of the armed woman in Kansas City that BLM supporters lied about: https://t.co/NxqdlaJ6oW https://t.co/ZiBNMnZH08",conservative
The response from the conspiracy theorist left to revelation that Hale brandished a gun before getting shot by police is that it’s a photoshopped image. They actually think a gun was added &amp; her ankle deleted. They’re ignorant about compression artifacts.https://t.co/NxqdlaJ6oW https://t.co/Xs9GXOlfiP,conservative
@JulieMFaenza @CachedT Yes they can you idiot.,conservative
RT @damintoell: T. Greg is moving the goalposts because his initial claims that Andy Ngo photoshopped the image without filling in both ank…,conservative
@greg_doucette I hate it when stupid people try to act smart. https://t.co/NxqdlaJ6oW,conservative
Genius thinks video compression &amp; motion artifacts are evidence of a conspiracy of photoshopping a gun into the woman’s hand. He even discusses how I’m liable for defamation because he thought the image came from me. The Jackson County Prosecutor’s Office released it. https://t.co/aFAXNbePPu,conservative
"RT @LeoKearse: The response from @MrAndyNgo to a muckraking blogger is👌. If you're going to try and dig dirt, make sure you're not sitting…",conservative
RT @MrAndyNgo: The latest #BLM hoax narrative about a police shooting in Kansas City: https://t.co/eeVLBr1E1p https://t.co/bQ7Dwmxu0z,conservative
RT @MrAndyNgo: The Tulsa mass shooter is black.,conservative
Support those the far-left seek to cancel and deplatform. Please consider joining me &amp; other content creators on @SubscribeStar. https://t.co/4OFjudOE97,conservative
".@jason_a_w, a blogger for the disgraced SPLC, sent an email inquiry for a ""Hatewatch"" entry he is working on about me and the crowdfunding platform, @SubscribeStar. 

I have attached screenshots of his email as well as my response. https://t.co/y8b1nq0xLB",conservative
NYC councilwoman Rodneyse Bichotte Hermelyn (@AMBichotte) blames white supremacy for a deadly mass shooting at a hospital in Tulsa carried out by a black gunman. https://t.co/lSfdvFikFS,conservative
The NYPD is seeking the identity of a black female who made racist anti-Asian comments to a victim before biting him. The attack happened on May 29 around 5:20 pm on a southbound A train running on the F line. Contact @NYPDTips with info. https://t.co/xz3Evhk4ig,conservative
"The NYC government sign in Vietnamese warns about the eight-fold increase in anti-Asian hate incidents. Because the incidents captured on camera have shown black perpetrators, liberal advocacy groups &amp; politicians have been reluctant to speak about the attacks. https://t.co/MJpKqV5uFx",conservative
Protesters linked to Extinction Rebellion tried shutting down the #PlatinumJubilee in London during the main parade to Buckingham Palace. https://t.co/96YqAZgKeu,conservative
"Sadly thousands including myself were turned away &amp; blocked from getting near Buckingham Palace, St James Park or Pall Mall. The #PlatinumJubilee was advertised for months but the organization was shambolic with poor communication among the different agencies blocking people. https://t.co/3KncIITqxG",conservative
Many pets joined to watch the #JubileeCelebration in London. #TroopingTheColour https://t.co/tGo2386GeI,conservative
Packed scenes in central London as people gathered for a patriotic celebration of the the Queen’s Platinum Jubilee—70 years on the throne. #PlatinumJubilee #JubileeWeekend #TroopingTheColour https://t.co/31q2mD7QiE,conservative
"RT @ShuForCongress: The Tulsa gunman was BLACK male.

Not WHITE Supremacist.

Check your facts before you go on a racist rant @AMBichotte.",conservative
The Tulsa mass shooter is black. https://t.co/Uuy8Z9ullX,conservative
"Four people were killed in a mass shooting on Wednesday night at a hospital campus in Tulsa, Oklahoma by a black gunman who hasn’t been named yet. He reportedly killed himself. https://t.co/4O6NqCXyha",conservative
@Mattskilletguy Doesn't matter. It's a media stunt and he expects to profit off the positive media attention and interviews even if a career as a Senator doesn't happen. He will be offered work somewhere based on the stunt.,conservative
"Kimberlé Crenshaw, an academic who teaches intersectionality and critical race theory, repeats the lie that Leonna Hale was unarmed. https://t.co/ZCz05ZxWix https://t.co/fKxEYVCpra",conservative
"Talia “Jane” Ben-Ora, a far-left activist based in New York City, doing what she does best by misinforming her followers.  https://t.co/TUpIlVjSrg https://t.co/zMcbxg4CyN",conservative
RT @MrAndyNgo: .@Booker4KY is running to be a senator in Kentucky. He released a disturbing advertisement for his campaign where there is a…,conservative
@JOE_co_uk You are incorrect. Focus on correcting UK media instead of spreading hoax claims from another continent. https://t.co/UoqFGKrcSf,conservative
"No, Antoine. https://t.co/wisRxNWl2p https://t.co/SSvTdoegrh",conservative
Verified Des Moines chapter of BLM spread the lie about Leonna Hale being unarmed:  https://t.co/Vw9wmIU2I0 https://t.co/3pyz0Gegij,conservative
Islamist Linda Sarsour misleading her followers again. https://t.co/KoLqHZ3lMs https://t.co/8vVAqU22lQ,conservative
No. https://t.co/HnQGWGcwRr https://t.co/A7l2SIMd5J,conservative
More verified media spreading the hoax. #LeonnaHale https://t.co/CBPesA99M4 https://t.co/2vWKt0TP9C,conservative
BET repeatedly spread the lie about the Kansas City firearm suspect being unarmed. #BLM https://t.co/svVXR0qHnZ https://t.co/0YGpagezJ6,conservative
Verified news and music magazine @TheSource was a source of disinformation about the armed Kansas City woman who brandished an illegal pistol and got shot. https://t.co/hNejr7r0qZ https://t.co/hVrGEzfIk3,conservative
@KCDefender This is not unarmed. https://t.co/sJI8hl5QRF,conservative
"A grift just like Black Lives Matter Global Network.

People are donating money to the woman who brandished an illegal firearm and was shot by police in Kansas City. Leonna Hale has been charged with unlawful possession and use of a firearm. https://t.co/Drf9WlyeRi https://t.co/ghGwVcYv0Q",conservative
@Daily_Record “Unarmed.” https://t.co/o9gz3CLxjb,conservative
"Linda Saraour, an Islamist extremist &amp; campaigner for freeing an antisemitic terrorist, spread lies about the shooting in Kansas City. https://t.co/YOx6uyZMwQ https://t.co/TT0lmldUfe",conservative
Pulitzer Prize winner @Laurie_Garrett falsely repeats the lie that the woman was unarmed. https://t.co/rtZabjRmUZ https://t.co/ypPbfhr9RH,conservative
"@Laurie_Garrett “Unarmed.” 

You’ve been awarded the Pulitzer? https://t.co/5VReNXsFaM",conservative
Sociologist spreads disinformation about the shooting. https://t.co/LfmjPlxVOC https://t.co/t8bSB4znZq,conservative
AJ+ spread disinformation about the shooting as well. https://t.co/BWdQvYeV1b,conservative
@ajplus That’s not unarmed. https://t.co/nUXJfslR1V,conservative
.@ryanshead spread the hoax to thousands of people on Twitter: https://t.co/0wtMv2a0bL https://t.co/uxaYQm2tbe,conservative
"Traveling to Rifle Colorado for a mini doc on the safest restaurant in America: Shooters Grill. 

If you live in Rifle - would love to meet you. Stop by and say howdy 🙌🏻🇺🇸

Coming soon at @TPUSA https://t.co/B69qKKYkY6",conservative
"RT @Cernovich: Chicago and Detroit and Baltimore will all have mass shootings this weekend. Oakland, too.

Democrats control those cities t…",conservative
10 Years of Turning Point USA https://t.co/nqwUfySHgu via the unstoppable @charliekirk11 and @TPUSA,conservative
BREAKING: 50 people feared dead as gunmen open fire at Nigerian Catholic Church https://t.co/dnYUPyn5A0,conservative
RT @dannydeurbina: I'm sure @SpeakerPelosi will respond to me roasting her once she puts her dentures back in... right? https://t.co/eebfmo…,conservative
RT @alexstein99: Asking the drag queen how she feels for exploiting little children? https://t.co/Jlho6qL1e2,conservative
RT @SethDillon: Bring back shame.,conservative
@alexstein99 No dude - you ROCK,conservative
Everyone follow @alexstein99 who is doing God’s work here https://t.co/npiIkED2Wu,conservative
"Amazing night with two of the finest and smartest Americans I know. 

@SarahHuckabee &amp; @TulsiGabbard at the @CentennialCCU #WCS2022. God, Family, Country. https://t.co/5cib8mF4eJ",conservative
"Mother handcuffed by police breaks free and charges active school shooter, saves BOTH her kids https://t.co/NAhUFoibDP",conservative
RT @madelinecorso: American families can’t afford summer vacations this year—but glad Joe is enjoying a long weekend at the beach!!,conservative
This is insane https://t.co/JUN8qeZXUP,conservative
Incredible https://t.co/FENIKJKHMS,conservative
Nailed it https://t.co/7Xci53CAz5,conservative
"RT @emeriticus: Former Trump adviser Peter Navarro was just arrested amid a witch hunt by the FBI, which has a workstation in the Washingto…",conservative
"RT @newsmax: .@bennyjohnson: It's more than just hypocrisy - it's a ""screw you"" hierarchy: https://t.co/jAdfzZTD83 https://t.co/1pY2j8TmTE",conservative
RT @marc_lotter: The midterms will be chance for America to change course. @bennyjohnson and I discuss why America First will win in 2022 a…,conservative
"RT @Timcast: It's not ok to tell kids ""it's not gonna lick itself""",conservative
Groomer awareness month.,conservative
Parents who take their kids to drag shows must be arrested for child abuse,conservative
Satanic https://t.co/OYajesEaUo,conservative
"RT @ThatUmbrella: Fox News is asking me for a comment about Taylor Lorenz. I don't talk to the media so I'll say it publicly. 

""Taylor Lor…",conservative
"RT @legalbytesmedia: What?! @washingtonpost I will say this AGAIN. 

I was not reached out to by @TaylorLorenz for comment until after my t…",conservative
RT @JackPosobiec: Felony child exploitation,conservative
Demonic https://t.co/aWMKkWf86G,conservative
RT @shoe0nhead: i dont like being gaslit about how totally not weird this is https://t.co/b3IGTCjWkm,conservative
"RT @JackPosobiec: Contact @TexasDFPS IMMEDIATELY and report what is going on in Dallas to these children!

1-800-252-5400

Child exploitati…",conservative
RT @RonFilipkowski: Heartbreaking video of man confronting police in Uvalde: “Right there! There’s my great-granddaughter! Where were you w…,conservative
Arrest them. https://t.co/BuYDQgZvbz,conservative
RT @ElijahSchaffer: This woman exposed a child to abuse today in Dallas by bringing him to an adult only venue where grown adults were groo…,conservative
Prison. Now. https://t.co/aWMKkWf86G,conservative
RT @grandoldmemes: https://t.co/dkITc4JR44,conservative
"RT @TaylerUSA: Wow— 

@alexstein99 was just denied entry to the Kids Drag Show and assaulted multiple times. https://t.co/hZanodeIYa",conservative
"Thank you to everyone who came out to @TPUSA’s #YWLS2022 in Dallas

So much ENERGY 

The future of the Conservative movement is bright 🇺🇸 https://t.co/14cfojVpCT",conservative
"RT @dannydeurbina: TUNE IN 👀🔥

9PM ET on @newsmax",conservative
"RT @TheBennyReport: TONIGHT on The Benny Report:

@libbyemmons will be with us to talk about the Left’s push for gun control, @dannydeurbin…",conservative
"RT @TPUSA: ""Without the family unit, this nation is truly done for.

Strong families make strong nations.""

@bennyjohnson

#YWLS2022",conservative
BREAKING: A Tennessee court has ordered @robbystarbuck to be restored to the ballot as a candidate for TN-5 Congressional race https://t.co/xBueSj3C3m,conservative
"RT @ggreenwald: People at NYT knew Taylor Lorenz was a reckless, unhinged liar who brought shame to the paper, and people at WPost know it,…",conservative
"RT @JackPosobiec: The CCP's ""success"" is because they have been propped up by Western capital for 40 years. That's it.",conservative
RT @esanzi: She is a dean at Brown Medical School. https://t.co/VpvRVnkReE,conservative
"BREAKING: Dave McCormick concedes to Mehmet Oz in Pennsylvania Republican Senate primary

https://t.co/2zIwmrlCNm",conservative
Two-Tiered Justice System https://t.co/0eJO8tKp5O,conservative
Same. Everyone should do this https://t.co/JtPzgr96TT,conservative
What just happened to Peter Navarro was criminal.,conservative
"Trump Advisor Peter Navarro BLASTS FBI for unconstitutional ARREST after he sent the J6 Committee to POUND SAND:

“They’re not coming for me and Trump, they’re coming for YOU— all 74 MILLION of you who voted for Donald John Trump.” https://t.co/qalAwEOfk3",conservative
"Biden’s snarky response to @ElonMusk’s concerns about the economy:

""Lots of Luck on His Trip to the Moon"" 

https://t.co/PH3IrnCTHQ",conservative
Do they actually think people believe this? https://t.co/t5Fn8Movsj,conservative
"Nancy Pelosi will not like this week’s episode of the The Left Can’t Meme.

Download @parler_app and check it out.

New Episode is LIVE now: https://t.co/JpzgFphu1V https://t.co/2hGt7J96Vl",conservative
"“Spare me the bullsh*t about Constitutional rights”

It’s nice to see Democrats finally admitting how they feel about the Constitution.

 https://t.co/9bwRzRbLhM",conservative
.@MattWalshBlog of @realDailyWire drops the jawdropping Truth about the Left's gender indoctrination on kids AND parents https://t.co/mjW953MomN,conservative
"@HillaryClinton Except your private security, right? 

Disarm your Secret Service and we will know you’re being serious. 

Hillary has been guarded by ‘assault weapons’ every day for the past 40 years.",conservative
RT @GovRonDeSantis: Special Olympics Int’l was planning on banning Special Olympians from competing based on covid vaccine status—in violat…,conservative
"RT @TPUSA: MUST WATCH!

Thank you to amazing President Donald J. Trump for a very special call at the biggest conference in the nation for…",conservative
RT @ConceptualJames: Chile today. Canada tomorrow? Who else after? https://t.co/7kcRmW95aa,conservative
RT @ThisIsKyleR: I’m looking forward to working with Todd McMurtry! He’s been helping my friend @N1ckSandmann and I’m excited to now have h…,conservative
"Biden is already talking about a full-on ""assault weapons"" ban

Do you get it now?

 https://t.co/sTWXlZaNfK",conservative
"The American Aristocracy must be destroyed

https://t.co/USp6ARVWId",conservative
🚨TOP Trump Intelligence Official Ric Grenell says he's seen the EVIDENCE to PROSECUTE Comey NEXT over Russia Hoax https://t.co/Tgu3P4ccOL,conservative
Kash Patel who BROUGHT DOWN Russia Hoax says THESE TWO Durham indictments coming before Danchenko Trial https://t.co/VSZN9berJZ,conservative
"Louie Gohmert UNLOADS on Democrats to their FACES after they slader Republicans on camera:

""HOW DARE YOU?!"" https://t.co/qmUAzGDO3k",conservative
Peter Doocy SCHOOLS Psaki 2.0 on Democrat gun grabs https://t.co/0MoFEybpaT,conservative
Tucker finally SNAPS on Biden— Exposes what tyrannical gun grabs are REALLY about https://t.co/mZ9eoK72bM,conservative
Tucker puts final nail in Creepy Lawyer Michael Avenatti's coffin in most SAVAGE way after 4 year PRISON sentence 🤣 https://t.co/Jidxzn8Imi,conservative
When will companies end their embarrassing Pride hypocrisy? https://t.co/QULL0WkPkz via @spectator,conservative
The American Aristocracy must be destroyed https://t.co/hQM9kgilRt,conservative
RT @LaciWilliams10: Not me literally on my 5th YWLS and LITERALLYYYY getting chills on the opener! Well done @yoalexrapz @TPUSA 💓💕#YWLS2022…,conservative
RT @ThisIsKyleR: I am alive today because I was able to protect myself.,conservative
"Let me help you Republican members of Congress. I'll make this very simple. 

When Democrats want more gun control the answer is: ""No.""",conservative
"RT @MattWalshBlog: This is why they don’t want you to see #WhatIsAWoman. It’s because of moments like this. Gender ideology is an insane, i…",conservative
"Speaker Pelosi: “Elections have consequences, and if we can just pick up a couple more Democratic senators to wipe back the filibuster, then we can again enshrine into the law a woman’s right to choose”

 https://t.co/KY5saH6IdX",conservative
"Thank you for coming on, @MattWalshBlog.

Everyone go watch #WhatIsAWoman: https://t.co/OoiMnv4Evs",conservative
"Joe Biden has been protected by 
'assault weapons' his entire political life. 

Yes, this is a real photo https://t.co/lVNuslcsEI",conservative
"DEMOCRATS: 

Arm Ukraine.

Disarm Americans.",conservative
"Joe Biden just sent $40B in lethal weapons to Ukraine. No efing clue where they will go or how they will be used. 

That same Joe Biden wants to ban the weapons Americans legally own.

Joe Biden is an evil, vile globalist who hates Americans",conservative
The 2nd Amendment is a warning to the government - not law abiding citizens,conservative
"You are a law-abiding American.

You own private property.

The Constitution guarantees you can own this property because selfdefense a human right. 

Joe Biden wants to punish you for practicing your rights.",conservative
RT @Timcast: Arrest Hunter https://t.co/7DZCJnSYiD,conservative
LIVE NOW: @MattWalshBlog of @realDailyWire answers the most important question on earth: What is a woman? https://t.co/ZuqqsmnRyz,conservative
BREAKING: Joe Biden calls for “National Red Flag Laws” https://t.co/Dbe9di8qf7,conservative
"Joe Biden does not respect the US Constitution. 

Impeach him.",conservative
Amazing https://t.co/szV3uZ9Dzk,conservative
"RT @charliekirk11: 2,500+ young, conservative women came from all over the country to be a part of the annual @TPUSA Young Women's Leadersh…",conservative
FACT CHECK: The assault weapons ban did not prevent mass shootings,conservative
"BREAKING: Biden calls for the 1994 Assault Weapons Ban to be reinstated

""We need to ban assault weapons and high capacity magazines, and if we can't ban assault weapons, then we should raise the age to purchase them from 18 to 21."" https://t.co/sTWXlZaNfK",conservative
"RT @RealSaavedra: 2,300 innocent unborn babies are murdered through abortion every day in the U.S. because of policies that Democrats suppo…",conservative
Biden says he’s not vilifying “gum owners” and again says the Second Amendment is “not absolute” https://t.co/xctjBTEHSw,conservative
"RT @ArthurSchwartz: Hunter Biden lied on a Form 4473 to illegally purchase a gun, a felony punishable by up to 10 years in prison &amp; a $250K…",conservative
"RT @stillgray: DeSantis: Fatherlessness is the main source of societal problems, calls on dads to step up
https://t.co/YKmdN76jW4",conservative
Throwback to this gem in honor of Michael Avenatti getting sentenced to four years in PRISON for defrauding Stormy Daniels https://t.co/RiiAzoQDIx,conservative
"Watch on Facebook: https://t.co/6qCvvcvXA3

Watch on YouTube: https://t.co/DTWgZX0S5Y

Watch on Rumble: https://t.co/VZ4rK0g6Bd

Listen on The Benny Show Podcast: https://t.co/p7hDo4vXrF",conservative
"TONIGHT: @MattWalshBlog of The @realDailyWire will join me on a special episode of The Benny Show as we explore the question on everyone’s mind: “What is a Woman?”

Tune in LIVE at 8pm ET https://t.co/7Tr3C7zJ78",conservative
MSBC goes into frantic meltdown as data proves Hispanics are FLEEING the Democrat party https://t.co/XTGDwFeg1h,conservative
"Obligatory post: 

 https://t.co/0jy0Kv4UHh",conservative
Sarah Palin EXPOSES truth about creepy Hollywood elites https://t.co/Qfx4HSAh9g,conservative
BREAKING: @MichaelAvenatti sentenced to four years in prison for  defrauding Stormy Daniels,conservative
"🚨Fauci says he will finally RESIGN, return to his bat cave in 2024 as he ADMITS mandates are about “authority” https://t.co/pjzVEh790s",conservative
"BUSTED: Arizona Democrat INDICTED in coordinated ballot harvesting scheme - the details are SHOCKING

https://t.co/MQauPoW4Xe",conservative
"Peter Doocy SLAMS Psaki's replacement with perfect question on inflation— her response is SO embarrassing as she cackles:

“We have achieved a historic recovery”

 https://t.co/bUSbNxVOaA",conservative
"Kentucky Democratic Candidate, Charles Booker, released ad evoking racism and lynching imagery. 
https://t.co/H8U7Gfdvvd",conservative
"Rep Louie Gohmert ERUPTS on democrats on ZOOM HEARING!
https://t.co/fmzHEXBK7b",conservative
"SHE blamed the Tulsa Shooting on WHITE SUPREMACY
https://t.co/Fl4mLvo0jN",conservative
"Mom who ""RAN IN THE SCHOOL"" SPEAKS OUT
https://t.co/oNfWS4st6c",conservative
@NikkiFried Drunk tweets are a bad look for you.,conservative
"Officer Tatum About Lia Thomas: “What about the women, dude?” https://t.co/u0MnREpSEF",conservative
Checkmate https://t.co/1WZI86WU0H,conservative
"#PrideMonth is of the devil. Celebrating sin isn't cool. 

Don't lie, pride month isn't about loving who you love.

America embraces that already

It's about celebrating sexual perversion and gender dysphoria",conservative
"Sheila Jackson Lee EMBARRASSED on Zoom!
https://t.co/r6wzFMBEzm",conservative
"Black Pro 2A Pastor WENT OFF
https://t.co/8OfXUB6mwU",conservative
"Police RELEASED PHOTO of ""Pregnant"" woman with a gun
https://t.co/2CNAyJKYhR",conservative
